target_name,source_catalog,ra_deg,dec_deg,sp_type,teff_catalog,disk_temperature,disk_radius,distance_pc,reference,sample_role,tic_id,tmag,teff_tic,tic_match_sep_arcsec,gaia_dr3_source_id,bp_rp,parallax,gaia_match_sep_arcsec,tic_query_status,gaia_query_status,has_tess_lightcurve,n_tess_products,first_sector,first_mission,tess_query_status
HR 9102,Cotten & Song 2016 table3,1.0847083333333334,-29.268805555555556,A0V,8820,200,11.6,124.84,Su et al. 2006,disk_or_ir_excess_target,12377940,6.36463,9772.0,0.1781318668968404,2.320998853585526e+18,0.034275055,7.764007366118098,0.2916082925551517,matched,matched,True,18,2,TESS Sector 02,found
HD 105,Cotten & Song 2016 table3,1.4693333333333332,-41.75325,G0V,6070,390,0.5,39.38,Zuckerman et al. 2004,disk_or_ir_excess_target,120462356,6.9827,6033.0,1.248822215373519,4.99585301464619e+18,0.75072956,25.753415493475273,0.7576750770029749,matched,matched,True,21,2,TESS Sector 02,found
HD 166,Cotten & Song 2016 table3,1.6547083333333334,29.02094444444444,K0V,5700,300,0.6,13.67,Bryden et al. 2006,disk_or_ir_excess_target,238432056,5.3971,5489.0,4.9626130442760275,2.8609246212052567e+18,0.9170017,72.64189108452184,1.753669889482618,matched,matched,True,11,17,TESS Sector 17,found
HD 203,Cotten & Song 2016 table3,1.7090416666666668,-23.10761111111111,F3V,6710,160,6.0,39.38,Rebull et al. 2008,disk_or_ir_excess_target,229012143,5.8109,6762.91,1.178899884432264,2.3371911895291023e+18,0.5283246,25.162805081468484,0.6397990318561293,matched,matched,True,19,2,TESS Sector 02,found
HD 377,Cotten & Song 2016 table3,2.1075,6.616805555555556,G2V,5910,200,2.1,39.07,Moor et al. 2006,disk_or_ir_excess_target,405187645,7.019,5895.0,0.8105050737860299,2.745647973856852e+18,0.78495026,26.03863506376948,0.5890289883958123,matched,matched,True,12,42,TESS Sector 42,found
sig And,Cotten & Song 2016 table3,4.581666666666666,36.78511111111111,A2V,8780,155,14.9,41.32,Morales et al. 2009,disk_or_ir_excess_target,194503676,4.5394,8770.0,0.815237582838303,3.78607281314502e+17,0.09509897,23.254163192588408,0.4435608088482523,matched,matched,True,3,17,TESS Sector 17,found
HD 1466,Cotten & Song 2016 table3,4.609458333333333,-63.47766666666667,F8V,6140,140,4.7,41.54,Smith et al. 2006,disk_or_ir_excess_target,425934574,6.9538,6147.0,1.1599282768438195,4.901229043960054e+18,0.697855,23.35551119232331,0.5652513027316478,matched,matched,True,33,1,TESS Sector 01,found
HD 1461,Cotten & Song 2016 table3,4.675708333333334,-8.053444444444445,G3V,5880,65,20.5,23.24,Lawler et al. 2009,disk_or_ir_excess_target,37748347,5.8575,5739.0,4.76906250958827,2.430102808294102e+18,0.8331771,42.73076832887228,2.3021237619533577,matched,matched,True,16,3,TESS Sector 03,found
9 Cet,Cotten & Song 2016 table3,5.715791666666666,-12.209416666666666,G3V,5920,40,48.5,20.86,Chen et al. 2014,disk_or_ir_excess_target,184281898,5.7957,5794.32,0.0763997665753121,,,,,matched,failed,True,8,3,TESS Sector 03,found
kap Phe,Cotten & Song 2016 table3,6.551333333333334,-43.67963888888889,A5IV,8010,170,9.0,23.8,Rieke et al. 2005,disk_or_ir_excess_target,80256268,3.8061,7868.33,1.4713865269783637,4.992538055808271e+18,0.26240516,41.72283479422134,0.448755570806811,matched,matched,True,6,69,TESS Sector 69,found
HD 2834,Cotten & Song 2016 table3,7.854083333333335,-48.8035,A1V,8950,95,46.3,52.96,Chen et al. 2014,disk_or_ir_excess_target,155996406,4.7598,9505.0,0.0784395936039227,4.975414983274333e+18,0.036396027,18.470512945750432,2.274563299353238,matched,matched,True,17,2,TESS Sector 02,found
HD 2772,Cotten & Song 2016 table3,7.943166666666667,54.522277777777774,B8V,12230,400,7.6,115.74,Chen et al. 2005,disk_or_ir_excess_target,320502029,4.7539,11969.1,0.194942198910079,4.180901210955772e+17,-0.0906558,7.4272781420426846,0.6879218583996236,matched,matched,True,16,17,TESS Sector 17,found
bet03 Tuc,Cotten & Song 2016 table3,8.183458333333332,-63.03161111111111,A0V,9050,300,3.4,45.55,Song et al. 2001,disk_or_ir_excess_target,469974193,5.0809,9164.14,0.936932160568827,4.900916679578514e+18,0.045404434,21.67942322983856,0.671838384073866,matched,matched,True,34,1,TESS Sector 01,found
HD 3126,Cotten & Song 2016 table3,8.613,-6.504138888888889,F4V,6380,200,2.9,40.91,Trilling et al. 2008,disk_or_ir_excess_target,38381642,6.4543,6514.67,1.1427301321871366,2.526580040189355e+18,0.6162925,24.780520827276476,0.6382172998068165,matched,matched,True,25,3,TESS Sector 03,found
HD 3296,Cotten & Song 2016 table3,9.008458333333332,-5.571,:F5,6450,60,39.2,45.04,Trilling et al. 2008,disk_or_ir_excess_target,212960381,6.266,6456.08,2.811429710848033,2.5267909402625807e+18,0.6094184,22.300969492047063,1.227084503798969,matched,matched,True,21,3,TESS Sector 03,found
HD 3670,Cotten & Song 2016 table3,9.736583333333332,-52.53433333333333,F5V,6440,290,1.5,83.12,Moor et al. 2011,disk_or_ir_excess_target,156069089,7.7779,6466.0,0.7325047892298586,4.924930906883506e+18,0.61456823,12.97562720159168,0.3679550420277718,matched,matched,True,19,2,TESS Sector 02,found
64 Psc,Cotten & Song 2016 table3,12.244625,16.940638888888888,F8V,6570,300,1.7,23.45,Koerner et al. 2010,disk_or_ir_excess_target,303319608,4.5699,6272.0,0.040867506406075,2.781872793183604e+18,0.68561316,42.75052512863736,3.1921074203737376,matched,matched,True,21,17,TESS Sector 17,found
HD 5133,Cotten & Song 2016 table3,13.254708333333332,-30.356916666666667,K2.5V,5170,30,45.7,14.17,Lawler et al. 2009,disk_or_ir_excess_target,66409287,6.2881,4921.0,0.0669494112233621,,,,,matched,not_found,True,16,3,TESS Sector 03,found
