source_catalog,target_name,ra_deg,dec_deg,source_priority,is_secondary_source,catalog_caution,phase2_sample_status,tic_id,gaia_dr3_source_id,simbad_main_id,crossmatch_status,recno,Name,f_Name,RAJ2000,DEJ2000,SpT,T*,R*,Td1,Rd1,Tdt2,Rd2,Tau,Dist,f_Dist,Num,Start,IRS?,Ref,TYC,WISEA,Simbad,vizier_catalog_id,vizier_table,Cat,W1,e_W1,pW1,W2,e_W2,pW2,W3,e_W3,pW3,W4,e_W4,pW4,IRAS12,e_IRAS12,pIRAS12,IRAS25,e_IRAS25,pIRAS25,IRAS60,e_IRAS60,pIRAS60,IRAS100,e_IRAS100,pIRAS100,MIPS24,e_MIPS24,r_MIPS24,pMIPS24,MIPS70,e_MIPS70,r_MIPS70,pMIPS70,MIPS160,e_MIPS160,r_MIPS160,pMIPS160,PACS70,e_PACS70,r_PACS70,pPACS70,PACS100,e_PACS100,r_PACS100,pPACS100,PACS160,e_PACS160,r_PACS160,pPACS160,SPIRE250,e_SPIRE250,r_SPIRE250,pSPIRE250,SPIRE350,e_SPIRE350,r_SPIRE350,pSPIRE350,SPIRE500,e_SPIRE500,r_SPIRE500,pSPIRE500,IRCat,BibCode,Comm,HIP,HD,SpType,Av,Teff,log(g),L*,M*,f_M*,Age,Assoc,l_F13,F13,e_F13,F24,e_F24,r_F24,l_F31,F31,e_F31,l_F70,F70,e_F70,r_F70,F13/F*,F24/F*,F31/F*,F70/F*,[13-31],[31-70],amin,l_logP0,logP0,f_logP0,l_logP1,logP1,f_logP1,l_logP2,logP2,Tgr,E_Tgr,e_Tgr,D,LIR/L*,E_LIR/L*,e_LIR/L*,Md,1chi2,Tgr1,E_Tgr1,e_Tgr1,D1,LIR/L*1,Md1,Tgr2,E_Tgr2,e_Tgr2,D2,LIR2/L*,Md2,2chi2,_RA,_DE,Aut,GLON,GLAT,dplx,AV,e_AV,e_Teff,L,e_L/L,Rad,logg,T(AV),L(AV),T(ABJ),L(ABJ),Q,N(SED),N(Opt),N(NIR),N(MIR),R(SED),R(Opt),R(NIR),R(MIR),X(MIR),X'(MIR),S(MIR),Rmax,f(XS),l(XS),Fom(BT),Fom(B),Fom(g),Fom(VT),Fom(V),Fom(r),Fom(i),Fom(I),Fom(z),Fom(J),Fom(H),Fom(Ks),Fom(W1),Fom(W2),Fom(A9),Fom(W3),Fom(I12),Fom(A18),Fom(W4),Fom(I25),F(BT),F(B),F(g),F(VT),F(V),F(r),F(i),F(I),F(z),F(J),F(H),F(Ks),F(W1),F(W2),F(A9),F(W3),F(I12),F(A18),F(W4),F(I25),Gaia,L(Av),L(XS),G/H,Fom(U),Fom(u),Fom(Hp),Fom(L),Fom(MA),Fom(MC),Fom(MD),Fom(ME),F(U),F(u),F(Hp),F(L),F(MA),F(MC),F(MD),F(ME),ID,AltName,Otype,Otypes,Qual,sample_role,sample_is_preliminary
Cotten & Song 2016,51 Eri,69.40054166666667,-2.473527777777778,1,False,,development_target,,,,not_attempted,97,51 Eri,,04 37 36.13,-02 28 24.7,F0IV,7400.0,1.4,300.0,1.9,45,88.35,0.65,29.42,,2.0,60.0,N,Riviere-Marichalar et al. 2014,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,64 Psc,12.244625000000001,16.940638888888888,1,False,,development_target,,,,not_attempted,17,64 Psc,,00 48 58.71,+16 56 26.3,F8V,6570.0,1.52,300.0,1.7,,,1.38,23.45,,2.0,60.0,N,Koerner et al. 2010,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,66 Psc,13.646791666666667,19.188333333333333,1,False,,development_target,,,,not_attempted,19,66 Psc,,00 54 35.23,+19 11 18.0,A1Vn,9340.0,2.7,250.0,8.7,35,447.82,2.2,108.1,,2.0,22.0,Y,Rhee et al. 2007,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,9 Cet,5.715791666666666,-12.209416666666666,1,False,,development_target,,,,not_attempted,9,9 Cet,,00 22 51.79,-12 12 33.9,G3V,5920.0,0.95,40.0,48.5,,,0.09,20.86,,2.0,60.0,Y,Chen et al. 2014,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,94 Cet,48.19408333333334,-1.1962222222222223,1,False,,development_target,,,,not_attempted,57,94 Cet,,03 12 46.58,-01 11 46.4,F8.5V,6140.0,1.72,40.0,94.6,,,0.04,22.57,,3.0,60.0,N,Trilling et al. 2008,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,AG Tri,36.87216666666667,30.973305555555555,1,False,,development_target,,,,not_attempted,45,AG Tri,,02 27 29.32,+30 58 23.9,K7V,4330.0,0.82,205.0,0.8,55,11.82,16.55,39.95,,4.0,22.0,N,Rebull et al. 2008,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,BD Phe,27.726583333333334,-50.20611111111111,1,False,,development_target,,,,not_attempted,53,BD Phe,,01 50 54.38,-50 12 22.0,A1V,7670.0,2.5,65.0,81.0,,,0.28,77.16,,1.0,60.0,N,Su et al. 2006,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,BD+14 466,41.793416666666666,15.307250000000002,1,False,,development_target,,,,not_attempted,88,BD+14 466,,02 47 10.42,+15 18 26.1,:K0,5230.0,2.45,40.0,97.4,,,13.81,79.36,,1.0,60.0,Y,Zuckerman et al. 2004,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,BD+20 307,28.709874999999997,21.306166666666666,1,False,,development_target,,,,not_attempted,36,BD+20 307,,01 54 50.37,+21 18 22.2,:F9,6110.0,1.28,410.0,0.66,,,115.802,96.15,,3.0,11.0,N,Song et al. 2005,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
Cotten & Song 2016,BD+21 418,47.80783333333333,22.41547222222222,1,False,,development_target,,,,not_attempted,99,BD+21 418,,03 11 13.88,+22 24 55.7,:G2,5890.0,0.95,280.0,0.9,,,1.52,53.7,,1.0,22.0,N,Zuckerman et al. 2011,TYC,WISEA,Simbad,J/ApJS/225/15,J/ApJS/225/15/table4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,disk_or_ir_excess_target,True
