tic_id,tmag,teff,bp_rp,parallax,ra_deg,dec_deg,has_tess_lightcurve,n_tess_products,first_sector,excluded_reason
407357369,6.80539,9786.0,0.01839000000000013,5.31448,20.8253878071293,36.5146331534733,True,7,17,
11997346,6.55708,9977.0,-0.008009999999999629,9.6589,31.1663797360345,65.1035009828233,True,23,52,
50119980,6.67539,10013.0,-0.0052000000000003155,7.58822,39.7430632354156,62.5915157853455,True,9,18,
67786245,6.0937,9505.03,0.02161999999999953,12.2763,56.1175150188725,20.9287361149159,True,15,42,
262435808,6.53538,9484.0,0.10983999999999927,4.49545,73.4825229461945,1.56937000972347,True,11,32,
156576373,6.12785,9817.0,-0.03754999999999953,6.98633,90.8532041173454,11.6810672977775,True,15,33,
452884731,6.8466,9649.0,0.35075000000000056,1.2718,2.90477558171316,58.2118286371068,True,18,57,
57920096,5.91385,9720.41,-0.009059999999999846,6.61317,4.65940729246549,31.51723037944,True,10,17,
319718327,6.57914,9760.0,0.028590000000000337,5.10533,6.66445023182149,56.6412015942267,True,18,17,
428612809,6.41563,9840.0,0.011820000000000164,6.69092,8.33027575932507,70.9818541198048,True,13,58,
461419393,7.1894,6061.0,1.1873600000000009,2.52928,3.28342422935162,68.1725613009999,True,8,58,
202512541,7.2285,5982.0,0.8525,0.91503,6.58103531706003,51.2803585687444,True,5,84,
440661265,7.2954,6086.0,0.7258000000000004,10.5102,7.06936145332555,28.0605064879729,True,9,17,
450008897,7.00813,5886.84,0.8095500000000007,6.98786,9.38007145470199,55.2253522464133,True,13,17,
461597067,6.6127,6163.74,0.6954399999999996,23.7127,9.56074632591123,84.674980617209,True,41,18,
258768772,7.12682,5930.45,0.7880099999999999,9.22512,10.3820315594145,12.9592365848997,True,16,42,
238301314,6.9059,5908.52,0.8003499999999999,15.2903,0.858053409676782,20.6655395955103,True,6,57,
257502302,6.7599,5743.0,0.8304900000000002,23.199,0.696563997766192,2.13015199433585,True,7,42,
83623070,6.90796,6088.0,1.0486899999999997,2.40799,3.52760870702685,60.7203562060953,True,14,57,
303241443,7.0973,6260.13,0.6564800000000002,15.6979,5.48888470273016,16.8769418728228,True,5,57,
347304641,5.7623,5763.68,0.8281199999999993,47.8005,1.56588848963093,58.4366986089182,True,32,17,
289971775,5.8926,5493.0,0.9036800000000005,58.3088,119.07178378135,80.2655429442767,True,32,19,
241194947,5.30762,5236.0,1.02351,6.62274,153.457101066852,27.1358254049966,True,6,21,
286927243,5.73577,5202.0,1.0343800000000005,6.92835,198.1496215711,18.7517504077051,True,6,23,
155634533,5.0739,5476.93,0.9363999999999999,11.194,201.736691917772,78.6438699763874,True,43,14,
105657000,5.36538,5190.0,1.1341399999999995,7.02135,205.064908150235,31.0120357216101,True,9,23,
83907586,5.65138,5637.0,1.0442800000000005,4.15147,3.97849933649347,61.0001710160066,True,28,17,
414829038,5.52603,5289.0,1.0480799999999997,5.68042,14.4771296652395,13.6958615430532,True,12,17,
440042075,6.2447,6891.57,0.5334900000000005,17.2432,3.20017708980093,46.095403549577,True,12,17,
444335503,6.1666,6589.72,0.55593,18.4711,5.97161160524547,60.9613876577015,True,19,57,
52187600,5.42,6880.0,0.7915099999999997,1.24172,15.9041780467721,61.0748205544096,True,12,18,
44561692,5.8373,6537.0,0.6010800000000005,23.671,21.776368869285,34.3775517360174,True,14,17,
354318511,5.5477,6548.5,0.5777900000000002,22.5415,27.7380338102803,51.9334187419091,True,10,18,
