depth_ppm,local_snr,noise_mad,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,label,injection_id,tic_id,sample_role,injected_depth_ppm,injected_ingress_hours,injected_egress_hours,injected_asymmetry_ratio,quality_score
1168.1954927430515,4.432334238794236,0.0002553004860877,,,,,,,,,,,,1,0,428612809,control,639.3142970406542,1.6895128225474785,4.08589967573286,2.4183892665413844,0.19945504074574064
2361.740430335435,2.439674105910264,0.0002553004860877,,,,,,,,,,,,1,1,428612809,control,2632.315775766844,5.398570236263787,10.200129425380114,1.8894131184703016,0.10978533476596188
2204.683212717717,1.2450423564787925,0.0002553004860877,,,,,,,,,,,,1,2,428612809,control,4541.9008755086215,6.246333999009299,24.0,3.84225371294691,0.05602690604154566
1081.8500729633529,2.004642357554739,0.0002553004860877,,,,,,,,,,,,1,3,428612809,control,1384.250338956861,6.106387845856819,24.0,3.930310456169925,0.09020890608996326
2215.5644626304925,3.934635658496872,0.0002553004860877,,,,,,,,,,,,1,4,428612809,control,2316.341181303945,1.341164814664994,10.724939139121512,7.996734645771681,0.17705860463235923
2104.686591019922,4.3580596276792365,0.0002553004860877,,,,,,,,,,,,1,5,428612809,control,2008.5057670514616,2.207249012009725,9.161320734472705,4.150560577726217,0.19611268324556566
1453.7167088065628,4.398067280809918,0.0002553004860877,,,,,,,,,,,,1,6,428612809,control,1172.3070356634043,4.635206627854163,5.5947249422640395,1.207006589230323,0.1979130276364463
1930.147273709326,1.7039537724838714,0.0002553004860877,,,,,,,,,,,,1,7,428612809,control,2637.9859234868686,7.344513864587189,12.006542234633026,1.634763369775172,0.07667791976177421
2225.3426356176888,1.9507444531858733,0.0002553004860877,,,,,,,,,,,,1,8,428612809,control,4226.329887372213,5.6605725444352535,21.275536058710316,3.758548431576181,0.0877835003933643
,,0.0002553004860877,,,,,,,,,,,,0,9,428612809,control,308.6453642242066,7.849484109454965,20.457197255141597,2.606183663777371,0.0
,,0.0018647804975509,,,,,,,,,,,,0,10,115598451,control,2628.810626693708,7.471122173679369,23.841791175044307,3.1911927848052755,0.0
,,0.0018647804975509,,,,,,,,,,,,0,11,115598451,control,2612.356417035708,1.1104567396874496,1.8505455866126272,1.6664724707182057,0.0
,,0.0018647804975509,,,,,,,,,,,,0,12,115598451,control,2932.430594837477,6.9708022986846885,12.21408654872968,1.7521780170174013,0.0
,,0.0018647804975509,,,,,,,,,,,,0,13,115598451,control,4917.957039311996,4.632189285437041,24.0,5.181135424550258,0.0
,,0.0018647804975509,,,,,,,,,,,,0,14,115598451,control,1366.7933469236484,2.200245428635437,8.148669577853427,3.703527557335785,0.0
,,0.0018647804975509,,,,,,,,,,,,0,15,115598451,control,2651.096914295641,1.4490176670896142,4.257647406031763,2.9382991682795336,0.0
,,0.0018647804975509,,,,,,,,,,,,0,16,115598451,control,172.0883535913134,4.150440749679213,21.27933353046405,5.127005735983276,0.0
,,0.0018647804975509,,,,,,,,,,,,0,17,115598451,control,3366.5841382275016,7.148750600940718,9.32118691114396,1.3038903483242743,0.0
