subset,total_candidates,unknown_role_candidates,stats_version,target_count,target_exposure,target_rate,target_rate_ci_lo,target_rate_ci_hi,control_count,control_exposure,control_rate,control_rate_ci_lo,control_rate_ci_hi,rate_ratio,rate_ratio_ci_lo,rate_ratio_ci_hi,odds_ratio,p_value_fisher,interpretation,caution,bootstrap_rate_ratio_median,bootstrap_ci_lo,bootstrap_ci_hi,n_bootstrap,n_finite_replicates,stability_warning,preliminary_warning
all_candidates,2,0,phase5_v1,2,28.0,0.07142857142857142,0.00865033137657018,0.25802455956156994,0,28.0,0.0,0.0,0.13174569478978343,,,,inf,0.49090909090909085,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,,,,1000,0,"Bootstrap CI unstable: only 2 total candidates (2 target, 0 control). Results are highly preliminary. Rate statistics require a larger survey sample.",PRELIMINARY: only 2 candidates. Statistics are unstable. Full survey required.
post_vetting_pass,0,0,phase5_v1,0,28.0,0.0,0.0,0.13174569478978343,0,28.0,0.0,0.0,0.13174569478978343,,,,,1.0,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,,,,1000,0,No candidates — bootstrap not possible.,PRELIMINARY: only 0 candidates. Statistics are unstable. Full survey required.
