tic_id,n_events,sample_role,target_name
444335503,20,control,TIC 444335503
63790159,16,target,gam Tri
417236897,14,control,TIC 417236897
436840249,10,target,33 Ari
194503676,7,target,sig And
67786245,6,control,TIC 67786245
240644651,6,control,TIC 240644651
257502302,6,control,TIC 257502302
266586474,6,control,TIC 266586474
469974193,6,target,bet03 Tuc
196613658,5,control,TIC 196613658
440042075,5,control,TIC 440042075
461597067,5,control,TIC 461597067
