subset,total_candidates,unknown_role_candidates,exposure_source,stats_version,target_count,target_exposure,target_rate,target_rate_ci_lo,target_rate_ci_hi,control_count,control_exposure,control_rate,control_rate_ci_lo,control_rate_ci_hi,rate_ratio,rate_ratio_ci_lo,rate_ratio_ci_hi,odds_ratio,p_value_fisher,interpretation,caution,bootstrap_rate_ratio_median,bootstrap_ci_lo,bootstrap_ci_hi,n_bootstrap,n_finite_replicates,stability_warning,preliminary_warning
all_candidates,2,0,scan_meta_actual,phase5_v1,1,2.0,0.5,0.012658903992144949,2.785821695469449,1,1.0,1.0,0.025317807984289897,5.571643390938898,0.5,0.002272023369753345,110.0340794589364,0.0,1.0,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,0.5,0.0,0.5,1000,748,"Bootstrap CI unstable: only 2 total candidates (1 target, 1 control). Results are highly preliminary. Rate statistics require a larger survey sample.",PRELIMINARY: only 2 candidates. Statistics are unstable. Full survey required.
post_vetting_pass,0,0,scan_meta_actual,phase5_v1,0,2.0,0.0,0.0,1.844439727056968,0,1.0,0.0,0.0,3.688879454113936,,,,,1.0,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,,,,1000,0,No candidates — bootstrap not possible.,PRELIMINARY: only 0 candidates. Statistics are unstable. Full survey required.
