pair_id,sample_role,tic_id,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points
0,target,12377940,HR 9102,TIC 12377940,1378.1077781484776,1339.9720191955566,3.672372672267701,0.1666650471997854,0.130086964361908,0.0999990327836712,0.0666660144161142,0.6666665922692805,-0.4124624035620923,0.2166568175403975,2.892292665065156,675,False,False,phase3_v1,18297
0,control,428612809,TIC 428612809,TIC 428612809,2887.246604441321,835.2994918823242,3.5508315188974473,0.0666673283885757,0.0394127517902234,0.0333336642106587,0.0333336641779169,0.9999999990177556,-0.1014610662374306,0.1613699503468857,-23.961776658686404,719,False,False,phase3_v1,19474
3,target,229012143,HD 203,TIC 229012143,1366.32740824016,801.6526699066162,3.963977919851635,0.1333355271744949,0.1140975768739736,0.0333338790023844,0.1000016481721104,3.0000003349432256,-0.2542359476793349,-0.0129450436174312,37.07322228737144,682,False,False,phase3_v1,18290
23,control,115598451,TIC 115598451,TIC 115598451,1766.0781212210566,14594.674110412598,35.662806820108,9.000103911201222,8.375147062683027,0.5000060096699599,8.500097901531262,16.99999147438636,-3.813044155514491,13.870495342854458,-224.9420819946829,32,False,False,phase3_v1,1111
24,target,381003375,HD 15115,TIC 381003375,1430.4110312935995,1275.9268283843994,3.647003395487683,0.0999981268560077,0.0647333052729663,0.0333327052139793,0.0666654216420283,2.0000003364284296,-0.0754193568801635,0.1951560015535789,-99.23885319156808,714,False,False,phase3_v1,14848
4,control,257502302,TIC 257502302,TIC 257502302,2452.2405813133987,2355.9927940368652,4.227478989904286,0.06666960836446378,0.03902018340158975,0.03333480418223189,0.03333480418223189,1.0,-0.14622140928434127,0.29712568918332405,-0.14217339458343758,718,False,False,phase3_v1,11275
4,control,257502302,TIC 257502302,TIC 257502302,2464.453534300246,2230.823040008545,4.269987424717613,0.06666837902957923,0.041458613362920005,0.03333418953116052,0.03333418949841871,0.9999999990177709,-0.2418993103924127,0.6528005464076125,0.09667299614386593,719,False,False,phase3_v1,11275
4,control,257502302,TIC 257502302,TIC 257502302,2466.1660754552536,2143.5022354125977,3.735145779534542,0.06666816668803222,0.052925881809642306,0.03333408894832246,0.033334077739709755,0.9999996637492411,-0.1533018430394735,0.35209458510295866,-1.0212953178543103,719,False,False,phase3_v1,11275
4,control,257502302,TIC 257502302,TIC 257502302,2453.518414186695,2088.90438079834,3.262691947083058,0.06666947423218517,0.033097333885962144,0.03333473711609258,0.03333473711609258,1.0,-0.1708707127142423,0.06860177648027577,-4.350842306599759,407,False,False,phase3_v1,11275
4,control,257502302,TIC 257502302,TIC 257502302,2450.858574337431,2040.9226417541504,3.586774048025795,0.06666976484848419,0.0387333334365394,0.03333488241332816,0.03333488243515603,1.0000000006548058,-0.2860713562679632,0.12647321795971278,1.0076828505769981,719,False,False,phase3_v1,11275
