subset,total_candidates,unknown_role_candidates,exposure_source,stats_version,target_count,target_exposure,target_rate,target_rate_ci_lo,target_rate_ci_hi,control_count,control_exposure,control_rate,control_rate_ci_lo,control_rate_ci_hi,rate_ratio,rate_ratio_ci_lo,rate_ratio_ci_hi,odds_ratio,p_value_fisher,interpretation,caution,bootstrap_rate_ratio_median,bootstrap_ci_lo,bootstrap_ci_hi,n_bootstrap,n_finite_replicates,stability_warning,preliminary_warning
all_candidates,5,0,scan_meta_actual,phase5_v1,3,3.0,1.0,0.2062240409652005,2.9224243565807746,2,2.0,1.0,0.12110463927198253,3.6123438338619795,1.0,0.05708870762302964,24.131398880743582,,1.0,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,1.0,0.16666666666666666,2.6666666666666665,1000,908,"Bootstrap CI unstable: only 5 total candidates (3 target, 2 control). Results are highly preliminary. Rate statistics require a larger survey sample.",PRELIMINARY: only 5 candidates. Statistics are unstable. Full survey required.
post_vetting_pass,0,0,scan_meta_actual,phase5_v1,0,3.0,0.0,0.0,1.2296264847046452,0,2.0,0.0,0.0,1.844439727056968,,,,,1.0,p >= 0.10 (no significant difference detected),Fisher's exact test on dev-sample counts is underpowered. p-values are not reliable for scientific claims. Full-survey data required.,,,,1000,0,No candidates — bootstrap not possible.,PRELIMINARY: only 0 candidates. Statistics are unstable. Full survey required.
