tic_id,pair_id,sample_role,target_name,sector_or_product,event_time_btjd,depth_ppm,local_snr,duration_hours,fwhm_hours,ingress_duration_hours,egress_duration_hours,egress_ingress_ratio,skewness,kurtosis,delta_chi2_asym,n_points_window,edge_event,single_point_like,detector_version,n_lc_points,ml_score,quality_score,final_candidate_score,ranker_version,flag_low_snr,flag_edge_event,flag_single_point_like,flag_likely_flare_shape,flag_low_delta_chi2,flag_poor_asymmetry_fit,needs_manual_review,automated_vetting_status,eb_catalog_check_status,vsx_check_status,simbad_check_status,vetter_version,ra_deg,dec_deg,vsx_match_name,vsx_variable_type,vsx_sep_arcsec,simbad_main_id,simbad_otype,simbad_otypes,simbad_sep_arcsec,tess_eb_check_status,tess_eb_match_id,tess_eb_sep_arcsec,external_false_positive_flag,external_vetting_notes,external_vetter_version,flag_external_catalog_match,cache_used,scan_timestamp,success,failure_reason,recommended_review_priority
194503676,5,target,sig And,TIC 194503676,1766.374064807063,548.1243133544922,4.494650017497659,0.1000003924636985,0.0515745479424367,0.0333334641472902,0.0666669283164083,2.0000000006548335,-0.2823925027763844,0.7038638574855471,0.5617448865647248,702,False,False,phase3_v1,13096,0.9214674,0.2636636130430965,0.6111456571117281,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,matched,matched,phase5_v1,4.581666666666666,36.78511111111111,NSV 118,,0.8312036119744395,* sig And,PM*,,0.8011781839582733,not_found,,,known_variable_match,"VSX: NSV 118 type= (0.8""); SIMBAD: * sig And otype=PM* (0.8"")",phase5c_v1,True,False,2026-05-15T21:06:17.780997,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
91529289,25,target,phi For,TIC 91529289,1387.8190765369666,636.9352340698242,5.253358787002111,0.0666678802681417,0.0360058689275319,0.0333339345434069,0.0333339457247348,1.000000335433786,-0.2272422328235773,0.8549279685536639,-11.426509796250455,709,False,False,phase3_v1,12894,0.9214674,0.2364011655411222,0.607827765805983,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,37.007083333333334,-33.811027777777774,,,,* phi For,*,,0.0581486829424316,not_found,,,no_external_match,"SIMBAD: * phi For otype=* (0.1"")",phase5c_v1,False,False,2026-05-15T21:06:17.899177,False,"download_failed: expected an indented block (__init__.py, line 7)",low
196613658,10,control,TIC 196613658,TIC 196613658,1768.505731808765,849.9026298522949,5.094048590771595,0.066668034711256,0.0339302220763784,0.033334011770421,0.0333340229408349,1.0000003351055973,-0.1061712801078531,0.7689083678006363,0.234893256778264,694,False,False,phase3_v1,13066,0.9214674,0.2298194398330033,0.6036019735604302,phase4_v1,False,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,17.0035398013815,43.9420877213532,,,,*  41 And,PM*,,0.0349144542491406,not_found,,,no_external_match,"SIMBAD: *  41 And otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.805757,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
380884414,13,control,TIC 380884414,TIC 380884414,2453.270218232855,1601.8152236938477,3.821687680829437,0.1000065248190367,0.0528376221482176,0.0333355082620983,0.0666710165569384,2.0000000009821903,0.1164701711637424,0.2155483907484323,2.2598828869977297,719,False,False,phase3_v1,13075,0.9214674,0.2376256529137504,0.5940008496933075,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,16.21014426061,7.04594152889102,,,,HD   6374,PM*,,0.0063914485954581,not_found,,,no_external_match,"SIMBAD: HD   6374 otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.818938,False,"download_failed: expected an indented block (__init__.py, line 7)",low
384986756,9,control,TIC 384986756,TIC 384986756,1791.6713561758236,828.2065391540527,3.726460875915424,0.0666686166532599,0.0406797373871086,0.0333343139118369,0.033334302741423,0.99999966489744,1.2208763942077432,2.1343816058210887,27.570764467169056,566,False,False,phase3_v1,14692,0.9214674,0.2366176505841167,0.5926453807123139,phase4_v1,True,False,False,True,False,True,True,flagged,not_attempted,matched,matched,phase5_v1,50.3606551307834,43.3296503903761,NSV 1107,,0.0782789100986548,* l Per,PM*,,0.0167687671746621,not_found,,,known_variable_match,"VSX: NSV 1107 type= (0.1""); SIMBAD: * l Per otype=PM* (0.0"")",phase5c_v1,True,False,2026-05-15T21:06:17.801091,False,"download_failed: expected an indented block (__init__.py, line 7)",low
240644651,6,control,TIC 240644651,TIC 240644651,1781.973569941371,1579.3442726135254,4.619276726247439,0.0666663136598799,0.0438054917358385,0.0333331624151469,0.033333151244733,0.999999664885864,-0.1917519820872544,1.0283138573167596,0.0124531081860368,704,False,False,phase3_v1,13065,0.9214674,0.2078985854515998,0.5900859131626273,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,8.62379657702518,47.9155420313053,,,,HD   3079,PM*,,0.0041083999210613,not_found,,,no_external_match,"SIMBAD: HD   3079 otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.788005,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
234309613,22,control,TIC 234309613,TIC 234309613,1347.6699430554995,415.8914089202881,4.618507629291407,0.066666841157712,0.027325418222972,0.0333334205843129,0.033333420573399,0.9999999996725828,-0.5522957939982479,1.1952048280629013,-4.315177698602952,534,False,False,phase3_v1,18270,0.9214674,0.2078328433181133,0.5900519253396723,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,not_found,matched,phase5_v1,35.4372525532317,-68.6594136153249,,,,* del Hyi,PM*,,0.020302228804768,not_found,,,no_external_match,"SIMBAD: * del Hyi otype=PM* (0.0"")",phase5c_v1,False,False,2026-05-15T21:06:17.861866,False,"download_failed: expected an indented block (__init__.py, line 7)",medium
155996406,9,target,HD 2834,TIC 155996406,1359.8677555228926,414.0138626098633,4.419823410683425,0.0666670091995911,0.0351044741491932,0.0333334990064031,0.0333335101931879,1.000000335601877,-0.036742665603382,0.5414289856221615,5.252823655454108,717,False,False,phase3_v1,18298,0.9214674,0.212024132755502,0.5897415989285479,phase4_v1,True,False,False,False,False,True,True,flagged,not_attempted,not_found,matched,phase5_v1,7.854083333333335,-48.8035,,,,* lam01 Phe,PM*,,0.0523410260382642,not_found,,,no_external_match,"SIMBAD: * lam01 Phe otype=PM* (0.1"")",phase5c_v1,False,False,2026-05-15T21:06:17.798978,False,"download_failed: expected an indented block (__init__.py, line 7)",low
469974193,10,target,bet03 Tuc,TIC 469974193,1351.7043955908766,475.1384258270264,3.748137392239581,0.0999998035258613,0.0642935133673745,0.0333332696991419,0.0666665338267193,1.9999998328527449,-0.0130559597633176,0.1557895432235558,-3.958460273941227,698,False,False,phase3_v1,18270,0.9214674,0.2286661726219458,0.5896815546906871,phase4_v1,True,False,False,False,True,False,True,flagged,not_attempted,not_found,matched,phase5_v1,8.183458333333332,-63.03161111111111,,,,* bet03 Tuc,**,,0.9365279702657712,not_found,,,no_external_match,"SIMBAD: * bet03 Tuc otype=** (0.9"")",phase5c_v1,False,False,2026-05-15T21:06:17.803136,False,"download_failed: expected an indented block (__init__.py, line 7)",overtriggered_review
352180433,19,control,TIC 352180433,TIC 352180433,1771.8961859471196,384.92679595947266,4.551579231661287,0.0666664030668471,0.0281896024753223,0.0333332071240874,0.0333331959427596,0.999999664558894,-0.1830203086000239,0.4200917416631888,0.5914566613555508,719,False,False,phase3_v1,13088,0.9214674,0.2062997070781468,0.5887693868673846,phase4_v1,True,False,False,False,True,True,True,flagged,not_attempted,matched,matched,phase5_v1,4.27285790560034,38.6816441666123,NSV 116,,0.1753362992429606,* tet And,**,,0.1951846810061641,not_found,,,known_variable_match,"VSX: NSV 116 type= (0.2""); SIMBAD: * tet And otype=** (0.2"")",phase5c_v1,True,False,2026-05-15T21:06:17.847883,False,"download_failed: expected an indented block (__init__.py, line 7)",low
